               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10448,            0.026152,                   0,           0.0014103,             0.42308,           0.0022765,          0.00051467,            0.085091,            0.015784,                   0,              0.0775,              0.0025,              0.0025
                   1,            0.078549,            0.020468,                   0,           0.0029915,             0.89744,            0.072099,            0.015534,            0.065775,            0.012355,                   0,            0.053999,            0.004999,            0.004999
                   2,            0.070475,            0.018795,                   0,             0.56883,             0.53846,             0.56196,             0.23108,            0.056435,            0.010845,                   0,            0.030395,           0.0073951,           0.0073951
                   3,            0.060883,            0.019198,                   0,             0.36572,             0.67949,             0.44791,             0.14411,              0.0659,           0.0079788,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.056916,            0.017258,                   0,              0.5449,             0.62821,             0.51171,             0.13146,            0.057068,           0.0081134,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.049283,             0.01642,                   0,             0.81053,             0.78205,             0.87055,             0.35013,            0.041569,           0.0083437,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.045195,            0.015018,                   0,             0.85816,             0.87179,             0.88294,             0.31347,             0.04586,           0.0067377,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.042638,            0.012939,                   0,             0.93241,             0.88436,              0.9641,             0.46633,            0.037438,           0.0062146,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.040279,            0.012086,                   0,             0.96539,             0.92308,             0.98473,             0.50179,            0.038986,           0.0054814,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.037676,             0.01076,                   0,             0.98273,             0.92308,             0.98004,             0.51234,            0.033898,           0.0048079,                   0,            0.008416,            0.008416,            0.008416
                  10,              0.0359,           0.0095945,                   0,             0.93807,             0.97098,             0.96398,              0.4103,            0.038657,           0.0044987,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.034688,           0.0090169,                   0,             0.95719,             0.98718,             0.99082,             0.59157,            0.030519,           0.0042601,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.03359,           0.0086727,                   0,             0.99653,             0.98718,              0.9889,             0.54726,            0.031883,           0.0040109,                   0,            0.007822,            0.007822,            0.007822
